"animeName","score","ranked","popularity","membre"
"Lupin III: Cagliostro no Shiro",8.15,369,1671,94502
"Mahou Shoujo Lyrical Nanoha: The Movie 2nd A's",8.15,370,3825,21469
"Chuunibyou demo Koi ga Shitai! Movie: Take On Me",8.14,371,882,198638
"Douluo Dalu: Shan Yu Yu Lai",8.14,372,8821,2457
"Durarara!!",8.14,373,70,1219681
"Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season",8.14,374,1328,126779
"Initial D Fourth Stage",8.14,375,1257,136991
"Interstella5555: The 5tory of The 5ecret 5tar 5ystem",8.14,376,2180,62716
"Kono Subarashii Sekai ni Shukufuku wo!",8.14,377,35,1534992
"Made in Abyss Movie 1: Tabidachi no Yoake",8.14,378,1901,77288
"No Game No Life",8.14,379,14,1993879
"One Piece Film: Strong World",8.14,380,906,193693
"One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna",8.14,381,2304,56823
"Sakura-sou no Pet na Kanojo",8.14,382,92,1050864
"Shokugeki no Souma: Ni no Sara",8.14,383,110,936356
"Tonikaku Kawaii: SNS",8.14,384,1895,77880
"Princess Tutu",8.13,385,1219,141032
"Baccano! Specials",8.13,386,1067,161692
"Detective Conan Movie 14: The Lost Ship in the Sky",8.13,387,2548,47046
"Detroit Metal City",8.13,388,930,187502
"Fullmetal Alchemist",8.13,389,59,1276483
"Haikyuu!! Movie 4: Concept no Tatakai",8.13,390,2391,53356
"Initial D Second Stage",8.13,391,1090,158621
"Koukaku Kidoutai: Stand Alone Complex - Solid State Society",8.13,392,1725,89521
"Mahoutsukai no Yome: Hoshi Matsu Hito",8.13,393,728,237640
"Mairimashita! Iruma-kun 2nd Season",8.13,394,1029,165617
"Mobile Suit Gundam 00",8.13,395,900,195678
"Mobile Suit Gundam Unicorn",8.13,396,1801,83937
"Detective Conan Movie 05: Countdown to Heaven",8.12,397,2398,53198
"Dragon Ball Super: Broly",8.12,398,631,269133
"Gintama°: Umai-mono wa Atomawashi ni Suru to Yokodorisareru kara Yappari Saki ni Kue",8.12,399,3345,28199
"Hyouka",8.12,400,84,1106192
"Kamisama Hajimemashita: Kamisama, Shiawase ni Naru",8.12,401,2496,48957
"Kanata no Astra",8.12,402,738,236226
"Kuragehime",8.12,403,875,199918
"Tsubasa: Shunraiki",8.12,404,2290,57246
"Tsuki ga Kirei",8.12,405,369,427854
"Tsukimonogatari",8.12,406,460,356222
"Uchouten Kazoku 2",8.12,407,2342,55351
"Saiki Kusuo no <U+03A8>-nan: <U+03A8>-shidou-hen",8.11,408,1121,155966
"Tamayura: Sotsugyou Shashin Part 4 - Ashita",8.11,409,5460,9056
"Tensei shitara Slime Datta Ken",8.11,410,101,992171
"Yuukoku no Moriarty",8.11,411,673,260059
"Zankyou no Terror",8.11,412,108,940900
"Ansatsu Kyoushitsu",8.11,413,33,1549233
"Diamond no Ace",8.11,414,856,202778
"Fate/Grand Carnival",8.11,415,3161,31505
"Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture",8.11,416,3316,28762
"Angel Beats!",8.1,417,19,1778979
"Gin no Saji",8.1,418,686,251483
"Gintama': Futon ni Haitte kara Buki Nokoshi ni Kizuite Neru ni Nerenai Toki mo Aru",8.1,419,3064,33551
"IDOLiSH7: Third Beat!",8.1,420,5084,10822
"Karakai Jouzu no Takagi-san 2",8.1,421,763,230866
"Kaze Tachinu",8.1,422,702,245679
"Kuroko no Basket",8.1,423,107,958077
"Kuroko no Basket: Saikou no Present Desu",8.1,424,1852,80930
"Mobile Suit Gundam 00 Second Season",8.1,425,1280,133628
"Ramayana: The Legend of Prince Rama",8.1,426,7096,4727
"Saint Seiya: The Lost Canvas - Meiou Shinwa 2",8.1,427,2138,64742
"Skip Beat!",8.1,428,734,236260
"Mobile Suit Gundam: The Origin - Advent of the Red Comet",8.09,429,4562,14196
"Natsume Yuujinchou: Ishi Okoshi to Ayashiki Raihousha",8.09,430,3744,22617
"Pui Pui Molcar",8.09,431,5516,8927
"Yowamushi Pedal: Grande Road",8.09,432,1410,116199
"Akatsuki no Yona OVA",8.09,433,1455,110319
"Darker than Black: Kuro no Keiyakusha",8.09,434,134,816999
"Doupo Cangqiong 4th Season",8.09,435,8823,2456
"Ginga Eiyuu Densetsu: Die Neue These - Seiran 2",8.09,436,4242,16976
"Gintama: Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi",8.09,437,2499,48925
"Hajime no Ippo: Boxer no Kobushi",8.09,438,2680,42529
"Hikaru no Go",8.09,439,1386,119142
"JoJo no Kimyou na Bouken Part 3: Stardust Crusaders",8.09,440,121,877999
"Koukaku Kidoutai: Stand Alone Complex - The Laughing Man",8.09,441,2937,36161
"Kuroshitsuji: Book of Circus",8.09,442,493,335123
"Mirai Shounen Conan",8.09,443,2774,39724
"Dennou Coil",8.08,444,1319,127805
"Detective Conan Movie 08: Magician of the Silver Sky",8.08,445,2539,47456
"Detective Conan Movie 18: The Sniper from Another Dimension",8.08,446,2999,34770
"Dorohedoro",8.08,447,439,371603
"Durarara!!x2 Ketsu",8.08,448,501,328359
"Ginga Eiyuu Densetsu Gaiden (1999)",8.08,449,4223,17142
"Gosick",8.08,450,342,466096
"Haikyuu!! Movie 3: Sainou to Sense",8.08,451,2333,55675
"Hidamari Sketch: Sae Hiro Sotsugyou-hen",8.08,452,4916,11789
"Hololive Alternative",8.08,453,7658,4065
"Initial D Fifth Stage",8.08,454,1483,108041
"Koukyoushihen Eureka Seven",8.08,455,407,396488
"Kuroshitsuji: Book of Murder",8.08,456,850,205210
"Mahoutsukai no Yome",8.08,457,166,711909
"Omoide no Marnie",8.08,458,774,225011
"Shijou Saikyou no Deshi Kenichi",8.08,459,656,261923
"Stand By Me Doraemon",8.08,460,2873,37747
"World Trigger 2nd Season",8.08,461,1724,90523
"Yuusha-Ou GaoGaiGar Final",8.08,462,5653,8341
"Summer Wars",8.07,463,350,457309
"xxxHOLiC Shunmuki",8.07,464,2193,62255
"Fate/stay night: Unlimited Blade Works Prologue",8.07,465,632,269296
"Gintama: Dai Hanseikai",8.07,466,3147,31908
"Glass no Kamen (2005)",8.07,467,3071,33456
"Kill la Kill",8.07,468,47,1440213
"Kuroko no Basket Movie 4: Last Game",8.07,469,825,211105
"Boku no Hero Academia the Movie 2: Heroes:Rising",8.06,470,415,392453
"City Hunter 2",8.06,471,3836,21372
"Detective Conan Movie 10: Requiem of the Detectives",8.06,472,2558,46866
"Eve no Jikan",8.06,473,1055,162807
"Kamisama Hajimemashita",8.06,474,308,515086
"Kara no Kyoukai 3: Tsuukaku Zanryuu",8.06,475,896,196762
"Kyou kara Ore wa!!",8.06,476,3471,26390
"Love Live! Superstar!!",8.06,477,2936,36151
"Shokugeki no Souma: San no Sara",8.06,478,149,784640
"Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA",8.06,479,892,197323
"Zombieland Saga: Revenge",8.06,480,1151,151354
"Paprika",8.05,481,385,418812
"Saint Seiya: Meiou Hades Juuni Kyuu-hen",8.05,482,2495,49056
"Saiunkoku Monogatari 2nd Season",8.05,483,2918,36562
"Serial Experiments Lain",8.05,484,258,565032
"Tsumiki no Ie",8.05,485,1805,83809
"BanG Dream! 3rd Season",8.05,486,3496,25994
"Black Clover",8.05,487,81,1144597
"Full Metal Panic? Fumoffu",8.05,488,639,267403
"Girls & Panzer: Saishuushou Part 2",8.05,489,3699,23101
"Juuni Kokuki",8.05,490,1351,123048
"Kami nomi zo Shiru Sekai: Megami-hen",8.05,491,563,297316
"Kodomo no Omocha (TV)",8.05,492,2344,55258
"Kono Subarashii Sekai ni Shukufuku wo! 2: Kono Subarashii Geijutsu ni Shukufuku wo!",8.05,493,585,289014
"Akatsuki no Yona",8.04,494,188,683253
"Baby Steps 2nd Season",8.04,495,1850,81041
"D.Gray-man",8.04,496,231,610897
"Evangelion: 1.0 You Are (Not) Alone",8.04,497,367,433509
"Ginga Nagareboshi Gin",8.04,498,3721,22782
"Hachimitsu to Clover",8.04,499,754,232165
"Lovely<U+2605>Complex",8.04,500,329,486686
"Magi: The Labyrinth of Magic",8.04,501,122,872072
"SK8",8.04,502,472,353883
"Toaru Kagaku no Railgun S",8.04,503,502,328475
"Tokyo Magnitude 8.0",8.04,504,666,260491
"Yahari Ore no Seishun Love Comedy wa Machigatteiru.",8.04,505,79,1146711
"Mobile Suit Gundam: Iron-Blooded Orphans",8.03,506,936,187012
"Nagi no Asu kara",8.03,507,303,520364
"Omae Umasou da na",8.03,508,4376,15796
"Slayers Next",8.03,509,2181,62658
"Black Lagoon",8.03,510,141,802252
"Black Lagoon: Roberta's Blood Trail",8.03,511,749,234495
"Clannad",8.03,512,72,1218678
"Detective Conan Movie 03: The Last Wizard of the Century",8.03,513,2339,55485
"Detective Conan Movie 04: Captured in Her Eyes",8.03,514,2421,52233
"ef: A Tale of Melodies.",8.03,515,1141,152366
"FLCL",8.03,516,190,680018
"Kaichou wa Maid-sama!",8.03,517,93,1030490
"Aria the OVA: Arietta",8.02,518,3092,33131
"Detective Conan Movie 15: Quarter of Silence",8.02,519,2781,39621
"Eve no Jikan (Movie)",8.02,520,1439,112277
"Fullmetal Alchemist: Brotherhood Specials",8.02,521,1245,137573
"Golden Boy",8.02,522,587,288884
"High Score Girl II",8.02,523,1556,103205
"Kara no Kyoukai Movie: Mirai Fukuin",8.02,524,1648,96301
"Mobile Suit Gundam: The 08th MS Team",8.02,525,2060,68194
"Persona 3 the Movie 4: Winter of Rebirth",8.02,526,2279,57684
"Promare",8.02,527,820,212220
"Tate no Yuusha no Nariagari",8.02,528,80,1144283
"Touch",8.02,529,3272,29557
"Wan Sheng Jie 2",8.02,530,6792,5298
"Wolf's Rain OVA",8.02,531,2278,57741
"Ookiku Furikabutte: Natsu no Taikai-hen",8.01,532,2792,39386
"ReLIFE",8.01,533,132,830719
"Sakasama no Patema",8.01,534,714,242230
"School Rumble Ni Gakki",8.01,535,1209,142601
"Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen",8.01,536,253,571518
"Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 3 - Yakusoku",8.01,537,4825,12289
"Code Geass: Hangyaku no Lelouch III - Oudou",8.01,538,1952,73528
"High Score Girl: Extra Stage",8.01,539,2254,58731
"Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen",8.01,540,931,188134
"Kakushigoto (TV)",8.01,541,687,252267
"Koukaku Kidoutai: Stand Alone Complex 2nd GIG - Individual Eleven",8.01,542,3453,26531
"Maoujou de Oyasumi",8.01,543,1216,142137
"Aria the Origination: Sono Choppiri Himitsu no Basho ni...",8,544,4021,19038
"Boku no Hero Academia",8,545,6,2368780
"Boku no Hero Academia 4th Season",8,546,60,1269974
"Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi",8,547,5616,8492
"Durarara!!x2 Shou",8,548,377,421873
"Hanada Shounen-shi",8,549,4729,12796
"Hibike! Euphonium",8,550,433,374703
"Kamisama Hajimemashita OVA",8,551,1544,103605
"Kimi ni Todoke",8,552,161,740735
"Kimi ni Todoke 2nd Season",8,553,432,375309
"Kingdom",8,554,1119,155387
"Kobayashi-san Chi no Maid Dragon",8,555,106,960322
"Koukaku Kidoutai 2.0",8,556,1853,80901
"Major Movie: Yuujou no Winning Shot",8,557,4113,18173
"Uma Musume: Pretty Derby (TV) Season 2",8,558,3306,29258
"Wan Sheng Jie",8,559,4943,11720
"Working!!!",8,560,815,213589
"xxxHOLiC",8,561,624,271914
"Quanzhi Gaoshou 2",7.99,562,1715,90209
"Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen",7.99,563,1927,75399
"Tennis no Ouji-sama: Zenkoku Taikai-hen - Final",7.99,564,3122,32495
"Durarara!!x2 Ten",7.99,565,481,343759
"Hyouge Mono",7.99,566,3663,23647
"Akagami no Shirayuki-hime 2nd Season",7.98,567,578,291602
"Ginga Eiyuu Densetsu: Die Neue These - Seiran 1",7.98,568,3932,20153
"Haibane Renmei",7.98,569,760,230501
"Kanon (2006)",7.98,570,705,244670
"Mahou Shoujo Lyrical Nanoha A's",7.98,571,2238,59280
"Noragami",7.98,572,20,1776224
"One Piece Film: Strong World Episode 0",7.98,573,2013,70105
"Osomatsu-san",7.98,574,1145,152064
"Phantom: Requiem for the Phantom",7.98,575,573,292883
"Saint Seiya: The Lost Canvas - Meiou Shinwa",7.98,576,1695,92195
"Youjo Senki",7.98,577,172,705710
"Nurarihyon no Mago: Sennen Makyou",7.97,578,1190,145201
"Tekkon Kinkreet",7.97,579,1682,93817
"Yowamushi Pedal",7.97,580,887,198209
"Yuri!!! on Ice: Yuri Plisetsky GPF in Barcelona EX - Welcome to The Madness",7.97,581,2126,65217
"Azumanga Daioh",7.97,582,606,280450
"Dragon Ball",7.97,583,130,839270
"Haikyuu!! Movie 2: Shousha to Haisha",7.97,584,2151,64194
"Hikaru no Go: Hokuto Hai e no Michi",7.97,585,3826,21465
"Hokuto no Ken",7.97,586,1470,109303
"Kokoro Connect: Michi Random",7.97,587,758,230883
"Log Horizon",7.97,588,105,961069
"Macross F Movie 2: Sayonara no Tsubasa",7.97,589,3577,24687
"Mawaru Penguindrum",7.97,590,650,265147
"Clannad: Mou Hitotsu no Sekai, Tomoyo-hen",7.96,591,614,275209
"Fate/kaleid liner Prisma<U+2606>Illya Movie: Sekka no Chikai",7.96,592,1922,75715
"Hanamonogatari",7.96,593,446,366137
"IDOLiSH7 Vibrato",7.96,594,5009,11203
"JoJo no Kimyou na Bouken (TV)",7.96,595,71,1220792
"Kimi to Boku. 2",7.96,596,1887,78520
"Kindaichi Shounen no Jikenbo",7.96,597,3611,24203
"Kobato.",7.96,598,1168,148338
"Kotonoha no Niwa",7.96,599,185,686646
"Kurenai no Buta",7.96,600,915,191409
"Macross: Do You Remember Love?",7.96,601,2795,39368
"Tamako Love Story",7.96,602,557,300690
"Trigun: Badlands Rumble",7.96,603,1383,119188
"Usagi Drop Specials",7.96,604,2165,63387
"Zetsuen no Tempest",7.96,605,302,521459
"Naruto",7.95,606,8,2237639
"Nekomonogatari: Kuro",7.95,607,340,470294
"Non Non Biyori",7.95,608,461,355997
"Umibe no Étranger",7.95,609,1672,95391
"Vanitas no Karte",7.95,610,783,220836
"Wotaku ni Koi wa Muzukashii",7.95,611,181,693122
"Wu Shan Wu Xing",7.95,612,3034,34009
"xxxHOLiC Movie: Manatsu no Yoru no Yume",7.95,613,2252,58829
"Full Metal Panic! The Second Raid",7.95,614,727,238034
"Girls & Panzer: Saishuushou Part 1",7.95,615,2976,35271
"Gochuumon wa Usagi Desu ka? Bloom",7.95,616,2604,45279
"Kuuchuu Buranko",7.95,617,1865,80015
"Beastars",7.94,618,221,635916
"Darker than Black: Kuro no Keiyakusha Gaiden",7.94,619,753,232281
"Fate/Grand Order: Zettai Majuu Sensen Babylonia",7.94,620,855,203493
"Final Fantasy VII: Advent Children Complete",7.94,621,1369,120815
"Full Moon wo Sagashite",7.94,622,1643,96533
"Haikyuu!! Movie 1: Owari to Hajimari",7.94,623,1998,70668
"Hidamari Sketch x Honeycomb",7.94,624,3903,20640
"Mobile Suit Gundam Thunderbolt",7.94,625,2640,44006
"Quanzhi Gaoshou",7.94,626,540,310226
"SKET Dance: Imouto no Nayami ni Nayamu Ani ni Nayamu Imouto to Sono Nakama-tachi",7.94,627,3965,19651
"Touhai Densetsu Akagi: Yami ni Maiorita Tensai",7.94,628,1766,87354
"Yakitate!! Japan",7.94,629,1785,84946
"Yuru Yuri San<U+2606>Hai!",7.94,630,1492,107219
"Mobile Suit Gundam: Hathaway's Flash",7.93,631,4193,17458
"One Piece Film: Gold",7.93,632,1180,146718
"Ore Monogatari!!",7.93,633,281,544782
"Overlord",7.93,634,73,1214669
"Beastars 2nd Season",7.93,635,555,303356
"Cike Wu Liuqi",7.93,636,2885,37166
"Code Geass: Fukkatsu no Lelouch",7.93,637,683,251811
"Detective Conan OVA 09: The Stranger in 10 Years...",7.93,638,4083,18504
"Eyeshield 21",7.93,639,1079,159993
"Hanasaku Iroha",7.93,640,574,292606
"Love Live! The School Idol Movie",7.93,641,1435,112644
"Mobile Suit Gundam Thunderbolt: December Sky",7.93,642,4195,17451
"Aria the Avvenire",7.92,643,3712,22929
"Bishoujo Senshi Sailor Moon: Sailor Stars",7.92,644,1663,95371
"City Hunter",7.92,645,2190,62445
"Drifters",7.92,646,347,458538
"ef: A Tale of Memories.",7.92,647,757,230937
"Free!: Eternal Summer - Kindan no All Hard!",7.92,648,1827,82620
"Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai",7.92,649,3109,32861
"Ginga Sengoku Gunyuuden Rai",7.92,650,4712,12898
"Higurashi no Naku Koro ni",7.92,651,178,695766
"Ie Naki Ko Remy",7.92,652,4217,17199
"Jormungand: Perfect Order",7.92,653,1051,163262
"Kaleido Star",7.92,654,1943,74116
"Lupin III (2015)",7.92,655,2315,56494
"Macross",7.92,656,1717,90268
"Mobile Suit Gundam 0080: War in the Pocket",7.92,657,2544,47383
"Ookiku Furikabutte",7.92,658,1733,89273
"Overlord III",7.92,659,208,658043
"Plastic Memories",7.92,660,155,761881
"Saiunkoku Monogatari",7.92,661,1793,84622
"Sakigake!! Cromartie Koukou",7.92,662,1379,119495
"Shirokuma Cafe",7.92,663,1843,81399
"Takarajima",7.92,664,4372,15841
"Tennis no Ouji-sama: Zenkoku Taikai-hen",7.92,665,2725,41058
"Tennis no Ouji-sama: Zenkoku Taikai-hen - Semifinal",7.92,666,3073,33382
"Tonikaku Kawaii",7.92,667,334,482956
"Ushio to Tora (TV) 2nd Season",7.92,668,1421,114255
"Zoku Sayonara Zetsubou Sensei",7.92,669,1390,118627
"School Rumble",7.91,670,570,293833
"Sekaiichi Hatsukoi 2",7.91,671,1239,138250
"Sekaiichi Hatsukoi OVA",7.91,672,2167,63325
"Shijou Saikyou no Deshi Kenichi OVA",7.91,673,2462,50455
"Terra e... (TV)",7.91,674,2334,55718
"There She Is!!",7.91,675,3734,22546
"Yagate Kimi ni Naru",7.91,676,700,246133
"Yuri!!! on Ice",7.91,677,169,709224
"Carole & Tuesday",7.91,678,641,267074
"Date A Live II: Kurumi Star Festival",7.91,679,1179,146850
"Death Billiards",7.91,680,829,209470
"Ergo Proxy",7.91,681,294,530511
"Hidamari Sketch x <U+2606><U+2606><U+2606>",7.91,682,3590,24428
"Jigoku Shoujo Futakomori",7.91,683,1201,143907
"Kami nomi zo Shiru Sekai II",7.91,684,475,347430
"Karigurashi no Arrietty",7.91,685,640,267731
"Kidou Keisatsu Patlabor 2 the Movie",7.91,686,3375,27878
"Macross F",7.91,687,1271,134476
"Code Geass: Hangyaku no Lelouch I - Koudou",7.9,688,1873,79512
"Megalo Box",7.9,689,387,415697
"Mobile Suit Zeta Gundam",7.9,690,2245,59109
"Sekaiichi Hatsukoi Movie: Yokozawa Takafumi no Baai",7.9,691,2309,56575
"Tiger & Bunny",7.9,692,889,198065
"Zan Sayonara Zetsubou Sensei",7.9,693,1664,95285
"One Piece 3D2Y: Ace no shi wo Koete! Luffy Nakama Tono Chikai",7.89,694,1983,71581
"Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu",7.89,695,1169,147941
"Vampire Hunter D (2000)",7.89,696,1224,140560
"Wonder Egg Priority",7.89,697,290,537079
"Wotaku ni Koi wa Muzukashii OVA",7.89,698,1301,129937
"Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie",7.89,699,693,250249
"Beelzebub",7.89,700,312,510972
"Berserk: Ougon Jidai-hen II - Doldrey Kouryaku",7.89,701,1014,169104
"Bungou Stray Dogs: Dead Apple",7.89,702,959,182466
"Detective Conan Movie 02: The Fourteenth Target",7.89,703,2399,53104
"Douluo Dalu",7.89,704,4041,18874
"Gake no Ue no Ponyo",7.89,705,366,433163
"Gekkan Shoujo Nozaki-kun",7.89,706,152,774939
"Kokoro ga Sakebitagatterunda.",7.89,707,633,269257
"Lupin III vs. Detective Conan: The Movie",7.89,708,3513,25780
"Mahou Shoujo Lyrical Nanoha: The Movie 1st",7.89,709,3325,28548
"Bungou Stray Dogs Wan!",7.88,710,2009,70672
"Carnival Phantasm",7.88,711,1025,167280
"Durarara!! Specials",7.88,712,1109,156003
"Gakuen Babysitters",7.88,713,733,236155
"Grisaia no Meikyuu: Caprice no Mayu 0",7.88,714,895,196795
"Hoozuki no Reitetsu 2nd Season",7.88,715,2775,39664
"Initial D Third Stage",7.88,716,1289,132238
"Inochi no Tabekata",7.88,717,8789,2534
"Kono Oto Tomare!",7.88,718,905,193684
"Noragami Aragoto OVA",7.88,719,791,219735
"One Piece: Episode of East Blue - Luffy to 4-nin no Nakama no Daibouken",7.88,720,3395,27494
"Sayonara Zetsubou Sensei",7.88,721,550,305409
"Seitokai Yakuindomo* OVA",7.88,722,2048,68503
"Space<U+2606>Dandy",7.88,723,564,296743
